,precision,recall,f1-score,support
1,0.8672431332655137,0.8721227621483376,0.86967610303494,1955.0
2,0.8742299794661191,0.8339862879529872,0.8536340852130326,2042.0
3,0.8622522957950701,0.8951329653788259,0.8783850320039389,1993.0
4,0.9829914957478739,0.9703703703703703,0.9766401590457257,2025.0
5,0.9744346116027532,0.9616690926734595,0.968009768009768,2061.0
6,0.9779374037968189,0.9621403331650682,0.9699745547073791,1981.0
7,0.9395302348825587,0.9485368314833501,0.9440120512176752,1982.0
8,0.9190427698574338,0.907035175879397,0.9129994941831057,1990.0
9,0.8768115942028986,0.9208523592085236,0.8982925018559762,1971.0
accuracy,0.9191666666666667,0.9191666666666667,0.9191666666666667,0.9191666666666667
macro avg,0.9193859465130045,0.9190940198067022,0.9190693054746156,18000.0
weighted avg,0.9196948871763957,0.9191666666666667,0.9192599110627309,18000.0
