,precision,recall,f1-score,support
1,0.8477344573234984,0.8230179028132992,0.8351933558266286,1955.0
2,0.8349921424829754,0.7806072477962782,0.8068843330802329,2042.0
3,0.8002819548872181,0.8544907175112895,0.8264984227129337,1993.0
4,0.973313192346425,0.9545679012345679,0.9638494141111942,2025.0
5,0.942870859337494,0.952935468219311,0.9478764478764479,2061.0
6,0.9602446483180428,0.9510348308934882,0.9556175500887649,1981.0
7,0.9223446893787575,0.9288597376387487,0.9255907491201609,1982.0
8,0.9051955008034279,0.8492462311557789,0.8763287529167747,1990.0
9,0.8185168125287886,0.9015728056823947,0.8580395943988411,1971.0
accuracy,0.8886111111111111,0.8886111111111111,0.8886111111111111,0.8886111111111111
macro avg,0.8894993619340698,0.8884814269939062,0.8884309577924421,18000.0
weighted avg,0.889806684303544,0.8886111111111111,0.8886516715696,18000.0
