,precision,recall,f1-score,support
1,0.7593220338983051,0.8020460358056266,0.7800995024875622,1955.0
2,0.7755651237890204,0.7056807051909892,0.7389743589743589,2042.0
3,0.7392,0.6954340190667335,0.7166494312306101,1993.0
4,0.9610645638245441,0.9629629629629629,0.9620128268376912,2025.0
5,0.9131089904570567,0.8820960698689956,0.8973346495557749,2061.0
6,0.9575113808801214,0.95557799091368,0.956543708943911,1981.0
7,0.912332838038633,0.929364278506559,0.920769807548113,1982.0
8,0.8500511770726714,0.8346733668341708,0.842292089249493,1990.0
9,0.6998207885304659,0.7924911212582445,0.7432786105162978,1971.0
accuracy,0.8400555555555556,0.8400555555555556,0.8400555555555556,0.8400555555555556
macro avg,0.8408863218323132,0.8400362833786625,0.8397727761493123,18000.0
weighted avg,0.8414166598449621,0.8400555555555556,0.8400493009346982,18000.0
