,precision,recall,f1-score,support
1,0.5773606370875995,0.5191815856777494,0.5467277134392674,1955.0
2,0.5403598971722365,0.5146914789422136,0.527213443691999,2042.0
3,0.43937298294144767,0.4781736076266934,0.45795290725612686,1993.0
4,0.6863488624052004,0.625679012345679,0.6546112115732369,2025.0
5,0.6552617936754795,0.6132945172246482,0.6335839598997494,2061.0
6,0.8512845849802372,0.8697627460878344,0.8604244694132335,1981.0
7,0.7278574962889659,0.7421796165489405,0.7349487884086935,1982.0
8,0.6114537444933921,0.6974874371859296,0.6516431924882629,1990.0
9,0.6167811579980373,0.6377473363774734,0.6270890496383138,1971.0
accuracy,0.6327222222222222,0.6327222222222222,0.6327222222222222,0.6327222222222222
macro avg,0.6340090174491775,0.6331330375574624,0.6326883039787647,18000.0
weighted avg,0.6338696248953624,0.6327222222222222,0.632414375731438,18000.0
