Feature,Importance
YG3 (605)-H :: YG3 (605)-H,0.03748882484257522
SSC (Violet)-W :: SSC (Violet)-W,0.021950202750424416
YG5 (655)-T :: YG5 (655)-T,0.021888175703904292
YG6 (675)-T :: YG6 (675)-T,0.021677188551749625
YG7 (700)-T :: YG7 (700)-T,0.02157990171621763
LightLoss (Violet)-H :: LightLoss (Violet)-H,0.02080837488096449
YG8 (725)-T :: YG8 (725)-T,0.01884445979559068
YG3 (605)-A :: YG3 (605)-A,0.017487384658160576
YG9 (750)-T :: YG9 (750)-T,0.01608786052083649
YG4 (625)-H :: YG4 (625)-H,0.015850499382177568
UV4 (440)-H :: UV4 (440)-H,0.014982481866749088
UV5 (460)-H :: UV5 (460)-H,0.01491454971298112
UV5 (460)-T :: UV5 (460)-T,0.013299416534714137
UV4 (440)-T :: UV4 (440)-T,0.013204666696452004
YG2 (590)-H :: YG2 (590)-H,0.011405876832687423
UV3 (420)-H :: UV3 (420)-H,0.011388910097266485
YG7 (700)-H :: YG7 (700)-H,0.011356505232567515
YG10 (780)-T :: YG10 (780)-T,0.011298866850910097
YG8 (725)-H :: YG8 (725)-H,0.011145018872624271
B7 (605)-H :: B7 (605)-H,0.011039253999884518
ImgB2 (600)-H :: ImgB2 (600)-H,0.01044732171818306
YG6 (675)-H :: YG6 (675)-H,0.01038469369071255
B6 (590)-H :: B6 (590)-H,0.010274251629696867
R1 (655)-H :: R1 (655)-H,0.010075315381263225
YG5 (655)-H :: YG5 (655)-H,0.009821600923081139
YG9 (750)-H :: YG9 (750)-H,0.009736292547230742
R2 (675)-H :: R2 (675)-H,0.009395162675002653
ImgB3 (790)-H :: ImgB3 (790)-H,0.009233777154062116
UV3 (420)-T :: UV3 (420)-T,0.009105247124410732
UV6 (475)-H :: UV6 (475)-H,0.00847859289332735
B5 (575)-H :: B5 (575)-H,0.008236245158004215
UV6 (475)-T :: UV6 (475)-T,0.00787186505396631
Calcofluor White*-A :: Calcofluor White*-A,0.007714125475537455
B9 (655)-H :: B9 (655)-H,0.007628248790229454
B12 (725)-H :: B12 (725)-H,0.007563029148736087
R3 (700)-H :: R3 (700)-H,0.007480912152370626
B7 (605)-A :: B7 (605)-A,0.007331349375681655
R4 (725)-H :: R4 (725)-H,0.0072484005166086295
YG5 (655)-A :: YG5 (655)-A,0.007191025145672729
B13 (750)-H :: B13 (750)-H,0.0070890542558208
B10 (675)-H :: B10 (675)-H,0.00692203119532207
R2 (675)-A :: R2 (675)-A,0.00688308131762572
R1 (655)-A :: R1 (655)-A,0.006761570240710413
B3 (530)-H :: B3 (530)-H,0.006724035723233301
B4 (545)-H :: B4 (545)-H,0.006641821398429464
B8 (625)-H :: B8 (625)-H,0.006554079981165014
YG6 (675)-A :: YG6 (675)-A,0.0064274268594414615
UV4 (440)-A :: UV4 (440)-A,0.006310782896773655
B11 (700)-H :: B11 (700)-H,0.006237040993245321
YG11 (810)-T :: YG11 (810)-T,0.00621471090313645
FSC-W :: FSC-W,0.0058977658016247745
UV7 (500)-H :: UV7 (500)-H,0.005797875097920049
R3 (700)-A :: R3 (700)-A,0.005690324866663838
R5 (750)-H :: R5 (750)-H,0.005562905277396719
YG7 (700)-A :: YG7 (700)-A,0.005510561185160804
B2 (515)-H :: B2 (515)-H,0.005505421226521139
ImgB1 (535)-H :: ImgB1 (535)-H,0.005440814592827423
V3 (460)-H :: V3 (460)-H,0.005353837064080654
UV8 (515)-H :: UV8 (515)-H,0.00533837436283997
YG10 (780)-H :: YG10 (780)-H,0.0052915724708628
B1 (500)-H :: B1 (500)-H,0.005176163823874931
V5 (500)-H :: V5 (500)-H,0.005155179857561733
B1 (500)-A :: B1 (500)-A,0.005135468206287463
UV5 (460)-A :: UV5 (460)-A,0.005095491867092528
B6 (590)-A :: B6 (590)-A,0.005029400896835239
YG3 (605)-T :: YG3 (605)-T,0.0050271093796292335
ImgB3 (790)-W :: ImgB3 (790)-W,0.004631191540868505
V4 (475)-H :: V4 (475)-H,0.004578387250591861
YG4 (625)-T :: YG4 (625)-T,0.004458527058772312
YG2 (590)-A :: YG2 (590)-A,0.0041905553449245675
R5 (750)-A :: R5 (750)-A,0.004180960035878617
R6 (780)-H :: R6 (780)-H,0.004169235571013162
YG8 (725)-A :: YG8 (725)-A,0.004017865388578382
R4 (725)-A :: R4 (725)-A,0.0038214965425784225
B3 (530)-A :: B3 (530)-A,0.0036390036798128306
V3 (460)-T :: V3 (460)-T,0.003620488289447268
UV17 (700)-T :: UV17 (700)-T,0.0035633200335649733
YG4 (625)-A :: YG4 (625)-A,0.0035514665343841833
B2 (515)-A :: B2 (515)-A,0.0035456740790558695
V6 (515)-H :: V6 (515)-H,0.0034660060269911786
R3 (700)-T :: R3 (700)-T,0.0034391703428119746
YG11 (810)-H :: YG11 (810)-H,0.00336681385395608
UV3 (420)-A :: UV3 (420)-A,0.003324435209197241
UV16 (675)-T :: UV16 (675)-T,0.0033177423885493653
B14 (780)-H :: B14 (780)-H,0.003284962514937171
Texas Red*-A :: Texas Red*-A,0.0032367313539875936
YG2 (590)-T :: YG2 (590)-T,0.003198263021665212
B11 (700)-A :: B11 (700)-A,0.0031668991438703904
R1 (655)-T :: R1 (655)-T,0.003135309733937897
R2 (675)-T :: R2 (675)-T,0.0031230208192135956
B4 (545)-A :: B4 (545)-A,0.003118088469385535
B1 (500)-T :: B1 (500)-T,0.0030067857589205853
B5 (575)-A :: B5 (575)-A,0.0029679431270415915
SSC (Imaging)-W :: SSC (Imaging)-W,0.0029580292461348413
V2 (440)-H :: V2 (440)-H,0.002956486505973803
B11 (700)-T :: B11 (700)-T,0.0029527908529609777
R6 (780)-A :: R6 (780)-A,0.0029291361535979214
R5 (750)-T :: R5 (750)-T,0.0028967491068833755
V1 (420)-H :: V1 (420)-H,0.0028352818848338523
Syto9*-A :: Syto9*-A,0.0028168428463259463
